"newnum" "inpx" "inpy"
942 -0.296109805381739 -0.0383759080361699
943 -0.299033475301739 -0.0505398486121699
944 -0.304081954543739 -0.0672896484681699
945 -0.304233974385739 -0.0786765640736199
946 -0.329201143155 -0.072394571302
947 -0.348477412400955 -0.0645342850889721
948 -0.341458251330955 -0.0544946696639721
949 -0.333755636640955 -0.0389918890469721
950 -0.328954634965955 -0.0276433057564721
951 -0.352539769469462 -0.0173678219503656
952 -0.360384585799462 -0.0266647887003656
953 -0.372370304684462 -0.0391146225178656
954 -0.379389465754462 -0.0491542379428656
955 -0.39686416979 -0.037004731882
956 -0.404701113804925 -0.0192288490898164
957 -0.394895965689924 -0.0162815134291664
958 -0.382707190494924 -0.00939134069246642
959 -0.374373992334924 -0.00389090213156642
960 -0.390603041873616 0.0152585230459265
961 -0.397419052423616 0.0140310474195265
962 -0.406358848428616 0.0127279237853265
963 -0.416163996543616 0.00978058812467645
964 -0.416923491295 0.029520792115
965 -0.406294150774353 0.0501016103903732
966 -0.399734661499353 0.0458308485718732
967 -0.392683663294353 0.0437635079348732
968 -0.387239302349353 0.0417514568338732
969 -0.361985094001436 0.0601998902046072
970 -0.365876121506436 0.0644490184356072
971 -0.371689248401436 0.0689948978781072
972 -0.378248737676436 0.0732656596966072
973 -0.35987168472 0.0834932731315
974 -0.340947318966576 0.0903823762232011
975 -0.338145895546576 0.0827423245217011
976 -0.334049932406576 0.0763612935562011
977 -0.331688177236576 0.0707644327667011
978 -0.300216012315559 0.0773652368688622
979 -0.300892270550559 0.0836264053868622
980 -0.303038617995559 0.0914052423678622
981 -0.305840041415559 0.0990452940693622
982 -0.28606248457 0.1013858948745
983 -0.269583396254901 0.103267461410088
984 -0.272186605323901 0.0960986097367882
985 -0.271184420769901 0.0874392510879882
986 -0.271515399689901 0.0811928391461882
987 0.498387502170942 -0.0167222438759723
988 0.499946944206942 -0.0106660589000123
989 0.502092043532942 -0.00153979613137231
990 0.501951623894442 0.00498413201464768
991 0.51627217235 0.00240446316045
992 0.531378789148654 -0.0011325471167313
993 0.530013468223654 -0.0080299651361813
994 0.528023111333654 -0.0171895462188813
995 0.526600096168654 -0.0232745343768813
996 0.552586850342845 -0.0294513760639463
997 0.553899253726945 -0.0229674683772263
998 0.555684835742146 -0.0130493729976263
999 0.556658684808345 -0.00326557897399635
1000 0.568231322569875 -0.00344745877260581
1001 0.565998280578075 -0.0144173124900867
1002 0.564245901453275 -0.0250782768344867
1003 0.562910069087375 -0.0319442578157667
1004 0.583852988562309 -0.0370726714941778
1005 0.585115339772109 -0.0276539567563578
1006 0.586676132753809 -0.0147185042425978
1007 0.587057840155009 -0.00372805946102695
1008 0.595450047495587 -0.00246307395742472
1009 0.596719610677787 -0.0134298066418547
1010 0.595323006589487 -0.0279658022440947
1011 0.594159792219287 -0.0396325330122747
1012 0.617126817665087 -0.0426236546656947
1013 0.618181175997587 -0.0285760181879447
1014 0.619404342660087 -0.0123162673309447
1015 0.625698623204 -0.000291355673494999
1016 0.638221139556 -0.0009590807194
1017 0.6363872275858 -0.01249853352324
1018 0.6351826433784 -0.0289830631714
1019 0.6341449632294 -0.04329338994218
1020 0.6329319833044 -0.06352473367662
1021 0.6317181266786 -0.08375620289646
1022 0.632019069558 -0.096070514614
1023 0.619237287805772 -0.0961294791312666
1024 0.614972339757272 -0.0828921415175666
1025 0.616204808874772 -0.0628199811170666
1026 0.594360199028472 -0.0434033455121266
1027 0.593599819637872 -0.0608951547928666
1028 0.592849566874272 -0.0800370161455266
1029 0.592834670716772 -0.0942014940369166
1030 0.584241157987147 -0.0938108720358678
1031 0.583444545256647 -0.0777551605566578
1032 0.583683441393047 -0.0594474434053178
1033 0.583945048202447 -0.0444895241500578
1034 0.562792081364391 -0.0466261018889731
1035 0.563082197660991 -0.0591218389903731
1036 0.563423203508791 -0.0766181106937131
1037 0.564599008945591 -0.0936741700226731
1038 0.554237088343523 -0.0934896337010618
1039 0.553157074492823 -0.0776326958235719
1040 0.552729950500623 -0.0601383146229118
1041 0.552370164797223 -0.0476454812303118
1042 0.514616849681207 -0.0511618803043532
1043 0.515193788671207 -0.0636432981063532
1044 0.515885037271207 -0.0811287071693532
1045 0.516236996026207 -0.0933736500018532
1046 0.489797375735 -0.0957022241075
1047 0.463208269573362 -0.0966737566333687
1048 0.465404801446862 -0.0854390211067187
1049 0.464388635172862 -0.0679694468393187
1050 0.463540369254862 -0.0555021194335187
